20359 15848
20358 15884
20350 15990
20345 16015
20343 16022
20336 16120
20324 16125
20316 16213
20307 16315
20292 16391
20248 16529
20234 16650
20180 16665
20173 16752
20161 16954
20142 16992
20104 17032
20099 17143
20098 17523
20028 17606
19955 17884
19837 17931
19828 18019
19769 18067
19752 18117
19746 18379
19701 18508
19635 18565
19612 18588
19590 18605
19578 18628
19572 18655
19564 18683
19559 18700
19542 18713
19530 18794
19510 18844
19496 18898
19485 18963
19466 18966
19430 18977
19427 19009
19410 19024
19375 19123
19294 19199
19291 19305
19278 19338
19267 19360
19230 19378
19225 19398
19218 19417
19205 19435
19141 19446
19137 19459
19107 19494
19097 19502
19064 19514
19056 19549
18994 19591
18934 19595
18924 19630
18860 19644
18842 19665
18763 19709
18713 19745
18669 19755
18611 19767
18609 19838
18502 19892
18398 19934
18357 19943
18316 19946
18210 19948
18152 19981
18122 20027
18027 20077
17914 20082
17897 20105
17854 20116
17791 20123
17738 20213
17566 20222
17471 20224
17416 20232
17332 20250
17331 20266
17288 20305
17276 20336
17065 20339
17057 20366
17011 20381
16988 20399
16946 20433
16854 20445
16824 20482
16642 20504
16488 20513
16455 20528
16390 20566
16351 20575
16289 20581
16287 20601
16201 20613
16200 20624
16186 20633
16090 20644
16028 20652
20347 15957
20336 16086
20316 16185
20295 16271
20294 16283
20249 16348
20216 16604
20210 16648
20169 16734
20146 16773
20130 16980
20104 17029
20078 17440
20008 17533
19992 17536
19953 17691
19919 17750
19883 17866
19836 17902
19807 17942
19764 18023
19746 18208
19702 18306
19654 18416
19636 18495
19575 18615
19520 18789
19373 19119
19288 19250
19266 19360
19229 19371
19222 19396
19215 19415
19170 19418
19135 19448
19130 19451
19127 19459
19063 19505
19058 19506
19044 19549
18984 19553
18955 19573
18866 19611
18751 19697
18722 19702
18578 19779
18538 19798
18415 19870
18362 19921
18142 19949
18088 20017
17992 20048
17897 20087
17712 20148
17639 20176
17610 20180
17409 20227
17384 20230
17287 20272
17210 20326
17046 20362
16925 20401
16778 20446
16740 20450
16624 20486
16574 20487
16380 20565
16294 20571
16272 20591
16260 20601
16150 20629
16050 20638
20354 15826
20344 15961
20333 16037
20325 16055
20315 16168
20306 16193
20293 16283
20266 16285
20132 16800
20097 17102
20040 17154
20031 17195
20029 17224
20024 17505
19939 17652
19879 17790
19877 17828
19864 17843
19774 17939
19718 18158
19709 18189
19675 18332
19670 18379
19600 18510
19532 18687
19498 18792
19355 19033
19333 19047
19300 19081
19233 19354
19220 19393
19206 19409
19136 19445
19070 19476
19048 19514
19034 19532
18944 19567
18914 19592
18865 19598
18740 19680
18724 19691
18700 19706
18656 19739
18465 19813
18449 19814
18374 19878
18089 19968
18058 19987
18043 20013
17995 20024
17939 20030
17820 20100
17781 20106
17701 20133
17693 20135
17680 20147
17620 20154
17565 20207
17403 20225
17264 20276
17260 20285
17099 20322
17061 20334
17040 20347
16983 20379
16941 20397
16355 20541
16266 20584
16237 20596
16199 20605
16193 20607
16169 20620
16148 20628
16072 20630
16030 20636
16014 20639
20337 15978
20312 16142
20243 16345
20215 16394
20202 16570
20127 16876
20121 16937
20099 17024
20068 17114
19790 17908
19757 17954
19730 18108
19689 18283
19667 18349
19630 18484
19606 18496
19325 19042
19266 19311
19231 19351
19140 19418
19013 19522
18991 19537
18918 19574
18534 19773
18462 19805
18451 19808
18218 19932
18061 19979
17909 20038
17724 20108
17653 20140
17608 20162
17535 20207
17190 20295
17070 20311
17027 20342
16935 20394
16794 20411
16581 20454
16579 20479
16343 20547
16318 20551
16210 20595
16138 20626
16036 20632
